,username,bot_type,node_entanglement,eigenvector_centrality,betweenness_centrality,closeness_centrality,clique_number,page_rank,random_walk
28,mushinghuskies,private_account,-4.9986741981200566e-05,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
29,queensnycfrank,private_account,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
30,shanny2137,spammer,-4.9986741981200566e-05,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
31,CBSNews,other,-0.00234394930560633,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
32,weplaywithtoys,spammer,-0.00234394930560633,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
33,BeverlyFoy6,private_account,-4.9986741981200566e-05,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
34,stefcyclops,private_account,-8.211066992558358e-06,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
35,gilsdesk,other,0.10891347419887154,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
36,Corona_SSYT,private_account,-8.211066992558358e-06,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
37,ZubyMusic,,-8.711253940418828e-12,8.95060836000854e-05,0.009950865596387292,0.04310528332410915,2,0.0005812855597263877,0.0005812855597263877
38,ulfsark9,private_account,-8.211066992558358e-06,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
39,PeterHotez,private_account,-8.211066992558358e-06,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
40,Bluemeade7,other,-8.211066992558358e-06,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
41,POTUS,private_account,-0.00234394930560633,0.005286250167808636,0.011591660444291468,0.04522422281335609,2,0.0005837480759483006,0.0005837480759483006
42,YatesSaunders,,-8.211066994334715e-06,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
43,LuceroSerna4,private_account,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
44,TuckerCarlson,private_account,-8.211066994334715e-06,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
45,TPostMillennial,private_account,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
46,thisisourshotca,private_account,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
47,AnitaOakville,private_account,-8.211066990782001e-06,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
48,CarolynD72355,private_account,-8.211066990782001e-06,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
49,wadhawan2011,private_account,-8.211066990782001e-06,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
50,jdf1188,spammer,-8.211066990782001e-06,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
51,roccorossiTO,spammer,-8.211066990782001e-06,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
52,washingtonpost,private_account,-8.211066990782001e-06,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
