,id,username,bot_type,user_type,origin_tweet_date,degree,tweet_url
328,2378,okeyokigbo,private_account,bot,2022-12-08,82,https://twitter.com/okeyokigbo/status/1600908752667824128
329,909,val_ic,false (human account),human,2021-07-18,80,https://twitter.com/val_ic/status/1416624031562977281
330,814,mynameisnotkim1,private_account,bot,2021-07-19,78,https://twitter.com/mynameisnotkim1/status/1416932498295119882
331,1421,Incrementallog1,private_account,bot,2022-12-16,78,https://twitter.com/Incrementallog1/status/1603772497677123584
332,738,Voyeur80370397,false (human account),human,2021-10-17,77,https://twitter.com/Voyeur80370397/status/1449663889180921857
333,1511,kat82378,spammer,bot,2022-12-14,74,https://twitter.com/kat82378/status/1603177399708950530
334,2373,HPPublicHealth,spammer,bot,2022-12-08,72,https://twitter.com/HPPublicHealth/status/1600867130559254528
335,1417,EdwardRayne,spammer,bot,2022-12-16,70,https://twitter.com/EdwardRayne/status/1603770263862095874
336,1541,_brrranko,private_account,bot,2022-12-15,70,https://twitter.com/_brrranko/status/1603188231608082433
337,2372,mercola,spammer,bot,2022-12-08,70,https://twitter.com/mercola/status/1600862991716524032
338,961,zoogirl121,false (human account),human,2021-07-26,69,https://twitter.com/zoogirl121/status/1419721964512432142
339,2371,stlenott,spammer,bot,2022-12-08,68,https://twitter.com/stlenott/status/1600858273976324097
340,0,Left_of_You,private_account,bot,2021-05-17,66,https://twitter.com/Left_of_You/status/1394373947454590987
341,1507,4givensaint40,spammer,bot,2022-12-14,66,https://twitter.com/4givensaint40/status/1603177097651945475
342,734,RockinTrump,private_account,bot,2021-08-21,64,https://twitter.com/RockinTrump/status/1428912360027304002
343,2345,indiahouse,spammer,bot,2022-12-07,64,https://twitter.com/indiahouse/status/1600629980697960449
344,1413,WashURadOnc,spammer,bot,2022-12-16,62,https://twitter.com/WashURadOnc/status/1603766690642378753
345,2368,AmandaPritchard,private_account,bot,2022-12-08,62,https://twitter.com/AmandaPritchard/status/1600773937541304320
346,1504,scott4pendleton,private_account,bot,2022-12-14,60,https://twitter.com/scott4pendleton/status/1603176957918658562
347,2325,kimberly_joc,spammer,bot,2022-12-07,60,https://twitter.com/kimberly_joc/status/1600535089158537219
348,1411,VikiLovesFACS,spammer,bot,2022-12-16,58,https://twitter.com/VikiLovesFACS/status/1603766367336923138
349,1535,drajm,private_account,bot,2022-12-15,58,https://twitter.com/drajm/status/1603187223087968256
350,775,maatuska_t,false (human account),human,2021-07-20,57,https://twitter.com/maatuska_t/status/1417553542953504769
351,2341,SenRonJohnson,other,bot,2022-12-07,56,https://twitter.com/SenRonJohnson/status/1600588549102919682
352,2365,MozartsTrump,spammer,bot,2022-12-08,56,https://twitter.com/MozartsTrump/status/1600748516296785920
353,830,YatesSaunders,false (human account),human,2021-07-22,54,https://twitter.com/YatesSaunders/status/1418079965564727303
354,1409,PeterRMacIsaac,spammer,bot,2022-12-16,54,https://twitter.com/PeterRMacIsaac/status/1603765126704017408
355,1408,NICUBatman,spammer,bot,2022-12-16,52,https://twitter.com/NICUBatman/status/1603765107363717120
356,1407,NaomiLi14590801,spammer,bot,2022-12-16,50,https://twitter.com/NaomiLi14590801/status/1603764913779769345
357,903,bilks,false (human account),human,2021-05-26,48,https://twitter.com/bilks/status/1397464616620462080
358,1406,nytimes,self_declared,bot,2022-12-16,48,https://twitter.com/nytimes/status/1603764566692765696
359,824,QWarrior18,false (human account),human,2021-07-19,46,https://twitter.com/QWarrior18/status/1417058833537585156
360,1405,ABridgen,private_account,bot,2022-12-16,46,https://twitter.com/ABridgen/status/1603764482571911168
361,698,BeverlyDHolmes,false (human account),human,2021-08-06,45,https://twitter.com/BeverlyDHolmes/status/1423510606116753414
362,823,MSkuggsida,false (human account),human,2021-07-19,45,https://twitter.com/MSkuggsida/status/1417084248457162754
363,822,loveiswhereits2,false (human account),human,2021-07-19,44,https://twitter.com/loveiswhereits2/status/1417197879261810689
364,1404,neeri_wwtd,private_account,bot,2022-12-16,44,https://twitter.com/neeri_wwtd/status/1603764092795510785
365,818,BBCNews,spammer,bot,2021-07-19,42,https://twitter.com/BBCNews/status/1417247750224232452
366,1402,saoltagroup,private_account,bot,2022-12-16,40,https://twitter.com/saoltagroup/status/1603762798798032898
367,1494,SelectGOP,other,bot,2022-12-14,40,https://twitter.com/SelectGOP/status/1603172492142473217
368,912,pinopire43,false (human account),human,2021-05-18,38,https://twitter.com/pinopire43/status/1394776704745345027
369,2332,Timcast,spammer,bot,2022-12-07,38,https://twitter.com/Timcast/status/1600553160568979457
370,1400,JimmyJoeYam,spammer,bot,2022-12-16,36,https://twitter.com/JimmyJoeYam/status/1603761055225856001
371,919,AllieLucas1971,false (human account),human,2021-05-20,35,https://twitter.com/AllieLucas1971/status/1395476842639933441
372,731,raroberts2010,spammer,bot,2021-08-19,34,https://twitter.com/raroberts2010/status/1428256312534597636
373,1399,HouseGOP,private_account,bot,2022-12-16,34,https://twitter.com/HouseGOP/status/1603760979174912002
374,1491,TIME,private_account,bot,2022-12-14,34,https://twitter.com/TIME/status/1603171921562337281
375,2330,giddyupmikey,spammer,bot,2022-12-07,34,https://twitter.com/giddyupmikey/status/1600547906502549504
376,2329,MAP_Information,private_account,bot,2022-12-07,32,https://twitter.com/MAP_Information/status/1600547063275454465
377,910,AlfaBravo005,false (human account),human,2021-05-22,31,https://twitter.com/AlfaBravo005/status/1396144490721730564
378,2352,BillClinton,private_account,bot,2022-12-08,30,https://twitter.com/BillClinton/status/1600668939801235456
379,1165,HetrickBarry,spammer,bot,2021-05-25,28,https://twitter.com/HetrickBarry/status/1397268840321540101
380,1342,NH_2_NC,false (human account),human,2021-11-05,28,https://twitter.com/NH_2_NC/status/1456415102576562178
381,889,Laban471,false (human account),human,2021-05-26,27,https://twitter.com/Laban471/status/1397581628864700421
382,1164,NYLockdown,spammer,bot,2021-05-25,26,https://twitter.com/NYLockdown/status/1397265703837782018
383,1395,rachel_loeb,spammer,bot,2022-12-16,26,https://twitter.com/rachel_loeb/status/1603756915627986945
384,1163,l11432,spammer,bot,2021-05-25,24,https://twitter.com/l11432/status/1397259095946809356
385,2349,StepOneObserve,spammer,bot,2022-12-08,24,https://twitter.com/StepOneObserve/status/1600660000359452673
386,1162,drmassee,spammer,bot,2021-05-25,22,https://twitter.com/drmassee/status/1397257157687406592
387,2217,WSjp_insight,private_account,bot,2022-12-07,22,https://twitter.com/WSjp_insight/status/1600493592069672961
388,1161,EdwinRankin,spammer,bot,2021-05-25,20,https://twitter.com/EdwinRankin/status/1397252644125675520
389,1484,DrJamesOlsson,spammer,bot,2022-12-14,20,https://twitter.com/DrJamesOlsson/status/1603167844652716033
390,2347,AbcCollab,spammer,bot,2022-12-08,20,https://twitter.com/AbcCollab/status/1600655255460786177
391,977,EynoufElizabeth,private_account,bot,2021-05-25,18,https://twitter.com/EynoufElizabeth/status/1397251500850782215
392,1381,DianaReadM,private_account,bot,2022-12-07,18,https://twitter.com/DianaReadM/status/1600584971525259265
393,1391,PeterJerg,spammer,bot,2022-12-16,18,https://twitter.com/PeterJerg/status/1603753276624850945
394,918,IBelieveMothers,false (human account),human,2021-05-22,17,https://twitter.com/IBelieveMothers/status/1395908333610180610
395,1390,reinallanera,spammer,bot,2022-12-16,16,https://twitter.com/reinallanera/status/1603752054215905281
396,1344,ussuricat1,private_account,bot,2021-09-02,15,https://twitter.com/ussuricat1/status/1433501851245236243
397,1383,LightReflectOn,private_account,bot,2022-12-11,14,https://twitter.com/LightReflectOn/status/1601742144984973312
398,1481,ikerock,private_account,bot,2022-12-14,14,https://twitter.com/ikerock/status/1603166951118753792
399,868,PatriotDany,false (human account),human,2021-05-26,12,https://twitter.com/PatriotDany/status/1397383435853967360
400,916,LoFaSho24,false (human account),human,2021-05-18,12,https://twitter.com/LoFaSho24/status/1394706370298064904
401,2222,RealMrsDonatta,spammer,bot,2022-12-08,12,https://twitter.com/RealMrsDonatta/status/1600932706946191361
402,2226,Oceanworldfree,private_account,bot,2022-12-11,12,https://twitter.com/Oceanworldfree/status/1601976867120087042
403,697,CBmdnc,false (human account),human,2021-08-07,11,https://twitter.com/CBmdnc/status/1423890900841795587
404,733,sgibbsters,false (human account),human,2021-08-16,11,https://twitter.com/sgibbsters/status/1427242982764331008
405,867,Sbartol3,false (human account),human,2021-05-26,11,https://twitter.com/Sbartol3/status/1397380162170277892
406,887,SmithMEGA007,false (human account),human,2021-07-15,10,https://twitter.com/SmithMEGA007/status/1415557971367456768
407,1477,Rasmussen_Poll,private_account,bot,2022-12-15,10,https://twitter.com/Rasmussen_Poll/status/1603455452397944861
408,2225,MBUDDMA,private_account,bot,2022-12-11,10,https://twitter.com/MBUDDMA/status/1601905008274198529
409,2229,The_Real_Sparkk,private_account,bot,2022-12-13,10,https://twitter.com/The_Real_Sparkk/status/1602681253290975233
410,917,CrashingJustice,false (human account),human,2021-05-23,9,https://twitter.com/CrashingJustice/status/1396271085054697473
411,1476,IrwinRedlenerMD,private_account,bot,2022-12-15,8,https://twitter.com/IrwinRedlenerMD/status/1603247090750078978
412,2220,ES03784893,private_account,bot,2022-12-08,8,https://twitter.com/ES03784893/status/1600715627500445696
413,2224,HighWireTalk,other,bot,2022-12-09,8,https://twitter.com/HighWireTalk/status/1601314634014654465
414,2228,Matt_Fleming321,spammer,bot,2022-12-13,8,https://twitter.com/Matt_Fleming321/status/1602679703021965312
415,1379,DoloresHuertaFD,private_account,bot,2022-12-14,6,https://twitter.com/DoloresHuertaFD/status/1603153784535846912
416,1380,DrEliDavid,private_account,bot,2022-12-07,6,https://twitter.com/DrEliDavid/status/1600584971525259265
417,1385,JCTDLife3D,private_account,bot,2022-12-16,6,https://twitter.com/JCTDLife3D/status/1603750444563857409
418,1475,AlecLace,private_account,bot,2022-12-15,6,https://twitter.com/AlecLace/status/1603194448737095680
419,2219,CDCDirector,other,bot,2022-12-08,6,https://twitter.com/CDCDirector/status/1600651508344709120
420,2223,DrEricDing,spammer,bot,2022-12-09,6,https://twitter.com/DrEricDing/status/1601096405858516993
421,2227,shrinirhs,spammer,bot,2022-12-13,6,https://twitter.com/shrinirhs/status/1602478679996731392
422,848,DonnaOw66990971,false (human account),human,2021-05-24,5,https://twitter.com/DonnaOw66990971/status/1396788766379896836
