,username,before_percolation,after_percolation,degree,change
1017,lily08244818,0.0,0.0,252,no change
1014,dhiggins63,3.084200841925146e-07,3.832117680988984e-07,250,increase
1402,Power2People4,0.0,0.0,248,no change
1015,shaundsylva,0.0,0.0,246,no change
1401,PieterOmtzigt,0.0,0.0,246,no change
1399,ZN2_______,0.0,0.0,244,no change
770,TruthSearching_,0.0,0.0,244,no change
2196,gemlilies27,0.0,0.0,239,no change
1394,steve_morris_,0.0,0.0,236,no change
2192,KanitBok,0.0,0.0,228,no change
1008,GinaMacina60,0.0,0.0,225,no change
2189,FrammeryChloe,0.0,0.0,223,no change
826,BarbarasGhost1,3.084200841925146e-07,3.832117680988984e-07,222,increase
1385,nicolasberrod,0.0,0.0,222,no change
2186,CryptoG08756535,0.0,0.0,218,no change
1382,DidiTsotso,0.0,0.0,218,no change
905,greenwoodls,1.2336803367700584e-06,1.683675842706256e-06,210,increase
1374,COVID19nCCC,0.0,0.0,204,no change
2179,CFloristry,0.0,0.0,204,no change
1807,babibelle33,1.8505205051550876e-06,1.9585857953019702e-06,202,increase
820,LizGuldvinge,0.0,0.0,202,no change
2178,thisuserposted,0.0,0.0,201,no change
1904,moonbeam696,0.0,0.0,199,no change
1890,ninskiberry,0.0,0.0,198,no change
997,SulleyTruman,0.0,0.0,198,no change
1368,LVaccinated,0.0,0.0,196,no change
1902,AndersonPolaris,0.0,0.0,195,no change
1367,Invesdoctor,0.0,0.0,194,no change
809,Prj_Sentinel,3.084200841925146e-07,3.832117680988984e-07,192,increase
921,DiedSuddenly_,0.0,0.0,191,no change
1982,Rac_helz,0.0,0.0,191,no change
1980,Max65752957,3.084200841925146e-07,3.832117680988984e-07,187,increase
714,CobyJayJr43,0.0014748648426086048,0.0018541287827218904,186,increase
988,JonJonmarkb,0.0,0.0,177,no change
987,threadreaderapp,0.0,0.0,175,no change
1364,ardini_robert,0.0,0.0,174,no change
1361,ezralevant,0.0,0.0,168,no change
2002,tvegaw,9.252602525775438e-07,1.0359954537531368e-06,166,increase
856,PeterSweden7,0.0,0.0,166,no change
1970,Caring_Canuck,0.0001246017140137759,0.00016226048098849893,163,increase
916,MelissaLMRogers,9.252602525775438e-07,1.0359954537531368e-06,162,increase
853,HSELive,0.0,0.0,160,no change
979,IzizzyG,0.0,0.0,160,no change
850,investisseurfaq,0.0,0.0,156,no change
1861,PantsClock,6.476821768042806e-06,6.347548230389379e-06,153,decrease
1744,justletmebeme1,0.0002488950079433593,0.0003173332816195246,151,increase
1710,sir_lars,6.476821768042806e-06,6.347548230389379e-06,151,decrease
974,jofiworks,0.0,0.0,151,no change
847,45BigBadWolf,0.0,0.0,150,no change
1350,Coldhardfacts5,0.0,0.0,150,no change
345,VanderleydeSo14,0.0,0.0,150,no change
973,Antonio_Caramia,0.0,0.0,149,no change
1785,1SweetSoldier,4.626301262887719e-06,4.614126762937923e-06,148,decrease
893,TheReaganFiles1,3.084200841925146e-07,3.832117680988984e-07,146,increase
844,DogFacePonia,0.0,0.0,144,no change
842,Mr_John_Harvey_,0.0,0.0,140,no change
2165,mohamedmahdi7,0.0,0.0,139,no change
1900,elofan1276,3.084200841925146e-07,3.832117680988984e-07,139,increase
840,vickdimin,0.0,0.0,138,no change
1910,DixieGenX,2.7757807577326313e-05,2.7360947445640587e-05,137,decrease
1343,agency_map,0.0,0.0,136,no change
2163,Todd98629,0.0,0.0,135,no change
966,berkedei,0.0,0.0,134,no change
1341,SickKidsNews,0.0,0.0,132,no change
1834,Jaye1222,9.252602525775438e-07,1.195606648003559e-06,130,increase
902,BRAINCURES,6.168401683850292e-07,8.459451284469099e-07,126,increase
963,76America76,0.0,0.0,126,no change
1308,meesthetics,0.0,0.0,118,no change
830,LuigiValentino,0.0,0.0,116,no change
357,JackJackedMe,0.0002488950079433593,0.00032104017322065074,111,increase
1939,laureenrobinso1,1.3878903788663156e-05,1.3173247365479426e-05,110,decrease
1325,VidalioVar,0.0,0.0,106,no change
1897,KyleJayBonnell,3.084200841925146e-07,3.832117680988984e-07,105,increase
821,AishaKh19035278,0.0,0.0,104,no change
802,Terry6969696,0.0,0.0,102,no change
74,BaringMyClaws,0.0,0.0,101,no change
946,Patri0tRever3,0.0,0.0,100,no change
945,thevivafrei,0.0,0.0,98,no change
1998,Sayyestolifeno1,0.0,0.0,97,no change
819,AbeedahAkhtar,0.0,0.0,96,no change
390,j_windsong,0.0,0.0,96,no change
955,SurrealHayes,0.0,0.0,96,no change
1978,Vicmot,0.0,0.0,92,no change
816,1984resistant,0.0,0.0,92,no change
417,momJenRodriguez,7.710502104812865e-06,8.77817109154733e-06,90,increase
1440,RedLights4FF,0.0,0.0,90,no change
811,SayNoToSino,0.0,0.0,86,no change
1482,smadax,0.0,0.0,86,no change
1487,DDPHE,0.0,0.0,84,no change
1748,mattlargey,0.0,0.0,84,no change
1971,Andreopeeneilan,0.0,0.0,83,no change
384,globalism_no,0.0,0.0,83,no change
1480,okeyokigbo,0.0,0.0,82,no change
1953,val_ic,0.0,0.0,80,no change
353,mynameisnotkim1,3.084200841925146e-07,3.832117680988984e-07,78,increase
803,Incrementallog1,0.0,0.0,78,no change
1826,Voyeur80370397,9.252602525775438e-07,1.0359954537531368e-06,77,increase
907,kat82378,0.0,0.0,74,no change
1477,HPPublicHealth,0.0,0.0,72,no change
798,EdwardRayne,0.0,0.0,70,no change
935,_brrranko,0.0,0.0,70,no change
137,mercola,0.0,0.0,70,no change
1999,zoogirl121,3.3926209261176607e-06,4.491060550085888e-06,69,increase
1475,stlenott,0.0,0.0,68,no change
1,Left_of_You,0.0007426755627355752,0.0009895276768908355,66,increase
903,4givensaint40,0.0,0.0,66,no change
387,RockinTrump,6.168401683850292e-07,8.459451284469099e-07,64,increase
1449,indiahouse,0.0,0.0,64,no change
1472,AmandaPritchard,0.0,0.0,62,no change
794,WashURadOnc,0.0,0.0,62,no change
1428,kimberly_joc,0.0,0.0,60,no change
900,scott4pendleton,0.0,0.0,60,no change
793,VikiLovesFACS,0.0,0.0,58,no change
930,drajm,0.0,0.0,58,no change
1855,maatuska_t,3.084200841925146e-07,3.832117680988984e-07,57,increase
1458,MozartsTrump,3.084200841925146e-07,3.832117680988984e-07,56,increase
454,SenRonJohnson,0.0,0.0,56,no change
790,PeterRMacIsaac,0.0,0.0,54,no change
42,YatesSaunders,0.0,0.0,54,no change
788,NICUBatman,0.0,0.0,52,no change
786,NaomiLi14590801,0.0,0.0,50,no change
1948,bilks,0.0,0.0,48,no change
82,nytimes,0.0001246017140137759,0.00015955148035635212,48,increase
1895,QWarrior18,0.0,0.0,46,no change
783,ABridgen,6.168401683850292e-07,8.459451284469099e-07,46,increase
656,BeverlyDHolmes,9.252602525775438e-07,1.0359954537531368e-06,45,increase
1894,MSkuggsida,0.0,0.0,45,no change
782,neeri_wwtd,3.084200841925146e-07,3.832117680988984e-07,44,increase
1892,loveiswhereits2,0.0,0.0,44,no change
410,BBCNews,0.0,0.0,42,no change
889,SelectGOP,0.0,0.0,40,no change
780,saoltagroup,0.0,0.0,40,no change
1437,Timcast,0.0,0.0,38,no change
1957,pinopire43,0.0,0.0,38,no change
778,JimmyJoeYam,0.0,0.0,36,no change
1964,AllieLucas1971,3.084200841925146e-06,3.151217803704973e-06,35,increase
1434,giddyupmikey,0.0,0.0,34,no change
885,TIME,0.0,0.0,34,no change
385,raroberts2010,0.0,0.0,34,no change
776,HouseGOP,0.0,0.0,34,no change
1433,MAP_Information,0.0,0.0,32,no change
1955,AlfaBravo005,3.084200841925146e-07,3.832117680988984e-07,31,increase
1459,BillClinton,0.0,0.0,30,no change
606,HetrickBarry,0.0,0.0,28,no change
626,NH_2_NC,0.0,0.0,28,no change
1938,Laban471,0.0,0.0,27,no change
605,NYLockdown,0.0,0.0,26,no change
773,rachel_loeb,0.0,0.0,26,no change
1455,StepOneObserve,0.0,0.0,24,no change
604,l11432,0.0,0.0,24,no change
603,drmassee,0.0,0.0,22,no change
1306,WSjp_insight,0.0,0.0,22,no change
602,EdwinRankin,0.0,0.0,20,no change
878,DrJamesOlsson,0.0,0.0,20,no change
1452,AbcCollab,0.0,0.0,20,no change
767,PeterJerg,0.0,0.0,18,no change
750,DianaReadM,0.0011016765407356622,0.0017288732065751024,18,increase
462,EynoufElizabeth,0.0,0.0,18,no change
1962,IBelieveMothers,0.0,0.0,17,no change
766,reinallanera,0.0,0.0,16,no change
729,ussuricat1,9.252602525775438e-07,1.2712300369100256e-06,15,increase
755,LightReflectOn,3.084200841925146e-07,3.832117680988984e-07,14,increase
874,ikerock,0.0,0.0,14,no change
1959,LoFaSho24,0.0,0.0,12,no change
1313,RealMrsDonatta,0.0,0.0,12,no change
1925,PatriotDany,0.0,0.0,12,no change
1316,Oceanworldfree,0.0,0.0,12,no change
1822,sgibbsters,0.0,0.0,11,no change
1792,CBmdnc,0.0,0.0,11,no change
1923,Sbartol3,0.0,0.0,11,no change
869,Rasmussen_Poll,0.0,0.0,10,no change
1321,The_Real_Sparkk,0.0,0.0,10,no change
1935,SmithMEGA007,3.084200841925146e-07,3.832117680988984e-07,10,increase
1315,MBUDDMA,0.0,0.0,10,no change
1960,CrashingJustice,0.0,0.0,9,no change
271,HighWireTalk,0.0,0.0,8,no change
1320,Matt_Fleming321,0.0,0.0,8,no change
868,IrwinRedlenerMD,0.0,0.0,8,no change
1311,ES03784893,0.0,0.0,8,no change
1314,DrEricDing,0.0,0.0,6,no change
757,JCTDLife3D,0.0,0.0,6,no change
867,AlecLace,0.0,0.0,6,no change
749,DoloresHuertaFD,0.0,0.0,6,no change
1318,shrinirhs,0.0,0.0,6,no change
6,CDCDirector,0.0001246017140137759,0.00016130305551282723,6,increase
751,DrEliDavid,0.0,0.0,6,no change
1909,DonnaOw66990971,0.0,0.0,5,no change
1732,TheJasonRink,0.0,0.0,0,no change
1731,DrewHolden360,0.0,0.0,0,no change
1700,Chill100K,0.0,0.0,0,no change
1735,AXECOP,0.0,0.0,0,no change
1818,selfawaresnare,0.0,0.0,0,no change
1734,Bobapool,0.0,0.0,0,no change
1733,jeremykauffman,0.0,0.0,0,no change
1720,monicabergamo,0.0,0.0,0,no change
1701,arlene_muhammad,0.0,0.0,0,no change
1702,tbarrongentry,0.0,0.0,0,no change
1721,vitormori,0.0,0.0,0,no change
1722,MiguelNicolelis,0.0,0.0,0,no change
1719,sheilafpontes,0.0,0.0,0,no change
1718,leandroruschel,0.0,0.0,0,no change
1723,Covidpeganoar,0.0,0.0,0,no change
1717,oiIuiz,0.0,0.0,0,no change
1724,MARIAEMI01,0.0,0.0,0,no change
1716,Shadow183860871,0.0,0.0,0,no change
1815,TheGreySaint1,0.0,0.0,0,no change
1725,estoque_pff,0.0,0.0,0,no change
1715,bigbrothergrav,0.0,0.0,0,no change
1726,PFFparaTodos,0.0,0.0,0,no change
1727,ClearwaterBK,0.0,0.0,0,no change
1714,AvengingAnnieRI,0.0,0.0,0,no change
1816,BlueBear0386,0.0,0.0,0,no change
1713,SingSing_80,0.0,0.0,0,no change
1729,HairylegsBiden,0.0,0.0,0,no change
1712,va_shiva,0.0,0.0,0,no change
1711,KompozytorZ,0.0,0.0,0,no change
1709,DaveWarren1010,0.0,0.0,0,no change
1708,tatebenson1,0.0,0.0,0,no change
1707,lisamjo,0.0,0.0,0,no change
1730,larrupin35,0.0,0.0,0,no change
1706,JustinNoordyke,0.0,0.0,0,no change
1705,PeterEnns3,0.0,0.0,0,no change
1704,robertcoggins,0.0,0.0,0,no change
1703,RetailRosie,0.0,0.0,0,no change
1817,patrick_plante,0.0,0.0,0,no change
1781,tenniseric32597,0.0,0.0,0,no change
1814,ksorbs,0.0,0.0,0,no change
1764,KalmLike_a_Bomb,0.0,0.0,0,no change
1796,PhillyD,0.0,0.0,0,no change
1773,Lillian_DJT2020,0.0,0.0,0,no change
1772,robbysoave,0.0,0.0,0,no change
1771,traviswalke,0.0,0.0,0,no change
1798,Kingxerxi,0.0,0.0,0,no change
1770,CWillyWally,0.0,0.0,0,no change
1799,MIVY_QUIN,0.0,0.0,0,no change
1769,AshaRangappa_,0.0,0.0,0,no change
1768,djwyze1,0.0,0.0,0,no change
1800,mathandbbqsauce,0.0,0.0,0,no change
1767,JoeSilverman7,0.0,0.0,0,no change
1801,lgadbery,0.0,0.0,0,no change
1766,RachelAxon,0.0,0.0,0,no change
1765,FullFrontalSamB,0.0,0.0,0,no change
1802,allahpundit,0.0,0.0,0,no change
1774,da57seeking,0.0,0.0,0,no change
1795,GaryJac34303792,0.0,0.0,0,no change
1775,PMama1987,0.0,0.0,0,no change
1788,kksheld,0.0,0.0,0,no change
1699,MickMadlee,0.0,0.0,0,no change
1779,mtaibbi,0.0,0.0,0,no change
1783,KeithDB80,0.0,0.0,0,no change
1784,JaneyCMJ,0.0,0.0,0,no change
1786,buckingfankers,0.0,0.0,0,no change
1787,prosser_timothy,0.0,0.0,0,no change
1789,4TruthMack,0.0,0.0,0,no change
1794,DietrichVFA41,0.0,0.0,0,no change
1778,LightnUpFransis,0.0,0.0,0,no change
1790,Archer_14,0.0,0.0,0,no change
1791,OliviaLRaphael,0.0,0.0,0,no change
1777,Ceo_Branding,0.0,0.0,0,no change
1793,SurprisedPossum,0.0,0.0,0,no change
1776,isaque31,0.0,0.0,0,no change
1803,hawkesbg,0.0,0.0,0,no change
1763,bpsbarry1,0.0,0.0,0,no change
1736,wherearentyou,0.0,0.0,0,no change
1804,FredGar48061675,0.0,0.0,0,no change
1782,ketchme2,0.0,0.0,0,no change
1751,LaurenceRHunt,0.0,0.0,0,no change
1750,Mousecat1980,0.0,0.0,0,no change
1749,MichaelDKarras,0.0,0.0,0,no change
1747,T_S_P_O_O_K_Y,0.0,0.0,0,no change
1746,tuxlemons,0.0,0.0,0,no change
1745,jpporter,0.0,0.0,0,no change
1813,RepThomasMassie,0.0,0.0,0,no change
1743,SteveDoocy,0.0,0.0,0,no change
1742,kvegasgrl,0.0,0.0,0,no change
1741,ggreenwald,0.0,0.0,0,no change
1740,NotAssangesCat,0.0,0.0,0,no change
1739,BobRae48,0.0,0.0,0,no change
1738,janelleybelley3,0.0,0.0,0,no change
1737,NBSaphierMD,0.0,0.0,0,no change
1752,nikoCSFB,0.0,0.0,0,no change
