,to_user_type,from_user_type,to_user_bot_type,from_user_bot_type,canonical_url,date_published,domain,from_user_id,from_user_screen_name,id,is_mention,site_type,title,to_user_id,to_user_screen_name,tweet_created_at,tweet_id,tweet_type,url_id,site_domain,url_raw,original_query,from_user_botscore,to_user_botscore,tweet_url,pub_date
1296,bot,human,private_account,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1360048793945858048,Mov_again,2021-07-26T21:09:50.000Z,1419766938197127177,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.56,https://twitter.com/LoveTahoe1/status/1419766938197127177,
1297,bot,human,spammer,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,810260006838870017,JenniferNOTL,2021-07-26T18:52:02.000Z,1419732259100315656,retweet,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.52,https://twitter.com/LoveTahoe1/status/1419732259100315656,
1298,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1391065120051064839,Covid_1984_,2021-07-26T18:42:24.000Z,1419729833915928601,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.41,https://twitter.com/LoveTahoe1/status/1419729833915928601,
1299,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1308140178159079424,AllCanadian7,2021-07-29T08:21:33.000Z,1420660754261450754,retweet,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.39,https://twitter.com/LoveTahoe1/status/1420660754261450754,
1300,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1398663695484473346,Giantcanadian2,2021-07-26T18:11:58.000Z,1419722177373360130,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.37,https://twitter.com/LoveTahoe1/status/1419722177373360130,
1301,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1272296671221878786,Sayyestolifeno1,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1300147246109990912,Brodawillsit,2021-08-05T18:02:58.000Z,1423343791214366722,quote,299197172.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.14,0.27,https://twitter.com/Sayyestolifeno1/status/1423343791214366722,
1302,bot,human,other,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1272296671221878786,Sayyestolifeno1,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1207789540024434689,HerdImmunity12,2021-08-05T18:25:28.000Z,1423349451612200964,reply,299197172.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.14,0.77,https://twitter.com/Sayyestolifeno1/status/1423349451612200964,
1303,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,546633093,zoogirl121,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1363897489049358338,LoveTahoe1,2021-07-26T18:11:08.000Z,1419721964512432142,retweet,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.11,0.38,https://twitter.com/zoogirl121/status/1419721964512432142,
1304,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,546633093,zoogirl121,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,24870433,UncleHotep,2021-07-26T04:12:10.000Z,1419510831327465473,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.11,0.24,https://twitter.com/zoogirl121/status/1419510831327465473,
1305,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,314031914,tvegaw,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1324457293442883586,Mcybibe,2021-07-23T19:36:41.000Z,1418656330311774211,retweet,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.16,0.31,https://twitter.com/tvegaw/status/1418656330311774211,
