,monkeypox_wlt
202,0.06003858169695763
203,-0.0011691716230867802
204,-0.05625614961112671
205,0.0046409178497770764
206,0.06151580963811853
207,0.020166825653447178
208,-0.001856349041386672
209,-0.003805138261788012
210,-0.0034915174866211336
211,-0.003142365737959027
212,-0.002828129164163119
213,-0.002545316247746806
214,-0.002290784622972161
215,-0.0020617061606749624
216,-0.001855535544607424
217,-0.0016699819901466618
218,-0.0015029837911319695
219,-0.0013526854120187698
220,-0.0012174168708169546
221,-0.0010956751837353056
222,-0.000986107665361747
223,-0.000954389949837438
224,-0.00299337507939372
225,-0.02270052970094352
226,-0.05562787975170867
227,0.007340784847793283
228,0.06401258298734513
229,0.022413921667751205
230,0.00016603737148690803
231,-0.0019849904902018395
232,-0.0018533844921936012
233,-0.0016680460429742254
234,-0.0015012414386767934
235,-0.0014180103458210486
236,-0.0034106334357789573
237,-0.023076062221690202
238,-0.055965859020380634
239,0.007036603505988524
240,0.0637388197797207
241,0.022100641729877205
242,-0.002250338697139625
243,-0.024166221081454765
244,-0.057013895045180674
245,0.006093371083668447
246,0.06288991059963267
247,0.02140351651880993
248,-0.0007433272625601908
249,-0.0028034186608441756
250,-0.0025899698457717076
251,-0.002397865912206466
252,-0.004292503445525769
253,-0.023869745230462334
254,-0.05668017372827561
255,0.006393720268883012
256,0.06316022486632578
257,0.021646799358833763
258,-0.0005243727065387602
259,-0.002606359560424935
260,-0.0024126166553943606
261,-0.0021713549898548924
262,-0.0019542194908693587
263,-0.0018256905927943646
264,-0.003777545658054977
265,-0.023406283221738614
266,-0.05626305792042424
267,0.0067022314449373815
268,0.061303460800234744
269,-3.0780430137399006e-05
270,-0.0552315975374723
271,0.005563014716066059
272,0.06234569681777864
273,0.02091372411514128
274,-0.0011841404258619743
275,-0.003200150507815801
276,-0.0029470285080461646
277,-0.002652325657241546
278,-0.0023870930915173795
279,-0.0021483837823656348
280,-0.00193354540412909
281,-0.0017401908637162124
282,-0.0015661717773445868
283,-0.001409554599610099
284,-0.0013354921906609334
285,-0.003336367096134816
286,-0.023009222516010626
287,-0.05590570328526906
288,0.007090743667589085
289,0.06378754592516121
290,0.022144495260773528
291,-0.0022108705193330663
292,-0.024130699721428842
293,-0.05704881887216902
294,0.003927515514838921
295,0.04093414845819687
296,-0.03355407242934174
297,0.007200719308434401
298,0.0617520998773822
299,0.020312593817772416
300,-0.0017251576934941212
301,-0.0036870660486845804
302,-0.003385252494828057
303,-0.003113620296357154
304,-0.004936682391261453
305,-0.024449506281624435
306,-0.05720195867432144
307,0.0058572207664297216
308,0.060542951189577775
309,-0.0007152390797285219
310,-0.05584761032210427
311,0.004941710158885358
312,0.05965209859177599
313,-0.001517006417750287
314,-0.056569200926323907
315,0.004359171666099615
316,0.06126223807280884
317,0.01993861124466846
318,-0.002061742009287517
319,-0.0039899919328987895
320,-0.0036578857906208522
321,-0.0032920972115587596
322,-0.0029628874904028685
323,-0.0026665987413625955
324,-0.00239993886722636
325,-0.0021599449805037372
326,-0.0019439504824533584
327,-0.001749555434207999
328,-0.0015745998907871392
329,-0.001417139901708421
330,-0.0012754259115376396
331,-0.0012147763713958144
332,-0.003227722858796229
333,-0.022911442702405728
334,-0.05581770145302464
335,0.007169945316608882
336,0.06385882740927906
337,0.022275541647491702
338,4.1495353253422074e-05
339,-0.0020970783066119494
340,-0.0019542635269627
341,-0.001758837174266415
342,-0.0016498465078516997
343,-0.003619285981606537
344,-0.023263849512934996
345,-0.05613486758250094
346,0.006884495800080152
347,0.06360192284440318
348,0.022044327539103445
349,-0.00016659734429602321
350,-0.0022843617344064223
351,-0.002122818611977717
352,-0.001977429801791882
353,-0.003914110946152711
354,-0.023529191981026577
355,-0.056373675803783385
356,0.006669568400925988
357,0.06340848818516451
358,0.021870236345788656
359,-0.00032327941827936524
360,-0.002425375600991439
361,-0.002249731091904232
362,-0.002024757982713834
363,-0.001889175235454372
364,-0.003834681836448946
365,-0.023457705782293174
366,-0.05630933822492329
367,0.006727472221900073
368,0.0634606016240411
369,0.021917138440777577
370,-0.0003479605838012309
371,-0.0045820127745011515
372,-0.024197196677552123
373,-0.057041773081668336
374,0.00393385672628959
375,0.04093985554850263
376,-0.033548936048066656
377,0.007205342051581989
378,0.06175626034621496
379,0.02031633823972199
380,-0.0017217877137394484
381,-0.003684033066905402
382,-0.003382522811226691
383,-0.0030442705301041177
384,-0.0027398434770937166
385,-0.0024658591293843643
386,-0.0022192732164460025
387,-0.00199734589480133
388,-0.00179761130532112
389,-0.0016178501747890319
390,-0.001456065157310108
391,-0.0013104586415791692
392,-0.0011794127774213384
393,-0.0010614714996791347
394,-0.0009553243497111302
395,-0.000859791914740079
396,-0.0007738127232660865
397,-0.0006964314509394433
398,-0.0006267883058456079
399,-0.0005641094752610073
400,-0.0005076985277347991
401,-0.00045692867496134376
402,-0.0004112358074652386
403,-0.0003701122267187163
404,-0.0003331010040468428
405,-0.00029979090364216427
406,-0.00026981181327795476
407,-0.00024283063195018587
408,-0.00021854756875521361
409,-0.00019669281187961686
410,-0.00017702353069158798
411,-0.00022621422863438315
412,-0.002404909981322856
413,-0.02430533523721971
414,-0.07707869686384636
415,-0.04722924662500208
416,0.07017100716162014
417,0.0653558879194406
418,-0.031580999043711394
419,0.006842061230961649
420,0.06136241455664445
421,0.019961877029108663
422,-0.002040802803291185
423,-0.003971146647502104
424,-0.003707818084775749
425,-0.005471460400838157
426,-0.02493080649024353
427,-0.0576351288620787
428,0.005534260648460278
429,0.06238671120794534
430,0.020950637066291286
431,-0.0011509187698269356
432,-0.003237144068396124
433,-0.005114746837108467
434,-0.02460976428288674
435,-0.05734619087545746
436,0.005794304836419371
437,0.06262075097710836
438,0.021094379807526015
439,-0.0031559744272556603
440,-0.024981293238559164
441,-0.0577474599865747
442,0.00543316263641383
443,0.06229572299710358
444,0.020801854625521803
445,-0.003419247091059608
446,-0.025218238635982757
447,-0.057960710844255796
448,0.00524123686450087
449,0.062122989802381956
450,0.020713287801284314
451,-0.001364533108333399
452,-0.0033625039220400344
453,-0.003093146580848009
454,-0.0028507249737752057
455,-0.004700076600937592
456,-0.024236561070332948
457,-0.057010307984159125
458,0.006029706387575946
459,0.06069818824860945
460,-0.0005755257266001138
461,-0.05572186830428882
462,0.005121771025931088
463,0.0619485774966572
464,0.02055631672613204
465,-0.0015058070759703043
466,-0.0034896504929132835
467,-0.0032075784946338807
468,-0.002886820645170492
469,-0.002598138580653465
470,-0.002338324722588124
471,-0.0021713853013412224
472,-0.004088670895747095
473,-0.02368629593566152
474,-0.05651506936295485
475,0.006542314197671699
476,0.0632939594022356
477,0.02176716044115258
478,-0.00041604773245182067
479,-0.0025088670837466694
480,-0.002324873426383967
481,-0.00209238608374555
482,-0.0018831474753709355
483,-0.0016948327278338172
484,-0.0015253494550505889
485,-0.0013728145095456992
486,-0.0012355330585912072
487,-0.0011119797527320507
488,-0.001000781777458754
489,-0.0009007035997127957
490,-0.0008106332397414714
491,-0.0007295699157673155
492,-0.0006732846819260928
493,-0.0007311225461884443
494,-0.0013660541007684034
495,-0.0042122245388692674
496,-0.01298170496294573
497,-0.031630924316072825
498,-0.056531550609544304
499,-0.06965534346532268
500,-0.05161036111705461
501,-0.010544444303124734
502,0.01888142943049887
503,0.021452593540857445
504,0.023749969482444625
505,0.04962123550505626
506,0.07985594884757619
507,0.07996702611637667
508,0.04401934446777836
509,-0.008268532221044907
510,-0.05474474376424204
