,PSD
136,537.361726492601
137,818.5340736244456
138,1231.4171410411216
139,581.3719348480382
140,255.91024885570855
141,269.9291388303077
142,270.53532687262657
143,188.67145042784603
144,175.1713106563497
145,78.91679158403936
146,60.11715505348878
147,59.9388433402645
148,59.47663478233035
149,122.58133260503284
150,116.72579979960534
151,112.92188205590904
152,143.21801929836963
153,257.4007805898925
154,201.82281969244983
155,169.5162024447679
156,147.9975236335962
157,161.845431377971
158,342.3640577496381
159,325.2994443850246
160,373.03254135259954
161,302.26800767973094
162,398.352251816317
163,305.5979547096097
164,220.04341287509948
165,214.45667553685576
166,114.63796319276331
167,110.59941845580083
168,129.48276786465001
169,26.024188900516645
170,49.58918677456211
171,47.51253580998434
172,75.51821314714299
173,85.48374732780456
174,110.98792975578297
175,107.15745649967
176,233.89614132728047
177,210.95305223110333
178,129.24605312698327
179,134.08522281008865
180,172.22725953323547
181,195.11420800678374
182,107.88891241343836
183,196.83830086553067
184,201.95513168942384
185,118.30168406663832
186,164.3806583680337
187,182.88260685907878
188,85.3632770478509
189,57.9482825405201
190,51.78739899419731
191,126.80341859334754
192,82.29561310389832
193,37.28223479873448
194,34.401882776132965
195,35.94667299536979
196,49.287583067938264
197,83.94656512327317
198,88.1109468077609
199,101.40157441132429
200,82.64662978015184
201,107.52736802968109
202,69.51361047146949
203,192.1966373614572
204,155.22184765099877
205,152.6238250844615
206,125.09036357257663
207,125.47787637981595
208,177.6605485033306
209,113.76612182094715
210,204.79148698285368
211,203.24015109476588
212,110.60685769714571
213,116.84794572211285
214,74.46593024900065
215,74.39300295810109
216,82.85736636150041
217,68.02582640346222
218,47.480207791230725
219,44.27087537599882
220,69.71279630271698
221,95.80606167770682
222,117.97697471915464
223,137.2539282690023
224,103.91894111960072
225,165.68141941067572
226,82.10409375086464
227,243.2293918488098
228,258.3312585664524
229,106.93041227353679
230,162.61477879173424
231,135.96886744187503
232,81.84499371826091
233,87.12656054071653
234,57.613209936707754
235,57.213084341699684
236,68.11114081726298
237,77.61441512862636
238,60.692105959236414
239,66.66729221744382
240,52.250287308891615
241,34.14644470040807
242,47.583868257904264
243,54.137550617279814
244,64.7506921117273
245,81.26763141744271
246,73.5524672886563
247,136.79000035519186
248,89.99254470058013
249,73.58704487089679
250,68.77450162846768
251,113.0059990066525
252,140.66914772873395
