,Unnamed: 0,username,bot_type,node_entanglement,eigenvector_centrality,betweenness_centrality,closeness_centrality,clique_number,page_rank,random_walk,cluster_leaf
14,21,absolute_phil,private_account,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,21
15,10,Carol64653456,spammer,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,10
16,11,imhopolitical,spammer,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,11
17,12,lauferlaw,private_account,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,12
18,13,NorrinR06303580,private_account,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,13
19,14,pushing_0,spammer,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,14
20,15,viewsfordays,self_declared,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,15
21,16,ElectPhoney,private_account,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,16
22,17,whydidicomeback,other,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,17
23,56,silo_hr,spammer,-8.211066992558358e-06,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,56
24,57,HerbsandDirt,private_account,-8.211066992558358e-06,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,57
25,60,chrislhayes,private_account,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,60
26,58,literaryeric,private_account,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,58
27,59,brianstelter,spammer,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,59
28,47,AnitaOakville,private_account,-8.211066990782001e-06,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,47
29,48,CarolynD72355,private_account,-8.211066990782001e-06,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,48
30,49,wadhawan2011,private_account,-8.211066990782001e-06,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,49
31,50,jdf1188,spammer,-8.211066990782001e-06,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,50
32,51,roccorossiTO,spammer,-8.211066990782001e-06,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,51
33,52,washingtonpost,private_account,-8.211066990782001e-06,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,52
34,53,CardioFixer,spammer,-0.0023439493056081,8.898342384779596e-05,0.0003719546215361,0.0377487064983699,2,0.0006216816177784,0.0006216816177784,53
35,54,life_scifi,spammer,3.552713678800501e-15,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,54
36,55,johnhawkinsrwn,spammer,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,55
37,45,TPostMillennial,private_account,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,45
38,46,thisisourshotca,private_account,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,46
39,44,TuckerCarlson,private_account,-8.211066994334715e-06,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,44
40,42,YatesSaunders,,-8.211066994334715e-06,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,42
41,43,LuceroSerna4,private_account,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,43
42,40,Bluemeade7,other,-8.211066992558358e-06,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,40
