,network_energy_and_bot_energy
228,2.60886032761111e-28
229,2.821495082563611e-28
230,3.36723199184326e-28
231,3.519846638182762e-28
232,3.5622279131221635e-28
233,4.4475734541585095e-28
234,4.486250023295528e-28
235,4.8305665440366245e-28
236,4.8305665440366245e-28
237,5.446788033552419e-28
238,5.567800518769995e-28
239,5.922741939154285e-28
240,6.177088830031975e-28
241,6.443857130731223e-28
242,6.503924818293202e-28
243,6.651926951805427e-28
244,6.700080011864356e-28
245,6.890685724488307e-28
246,6.9915300361497925e-28
247,7.078348346137129e-28
248,7.229065379470514e-28
249,7.271552549379232e-28
250,7.558017820610807e-28
251,7.670552686496721e-28
252,8.000153357622029e-28
253,8.051890741494231e-28
254,8.24267768165853e-28
255,8.698998765358088e-28
256,8.847263932867323e-28
257,1.0001044225239776e-27
258,1.0049362105152844e-27
259,1.0240132759624071e-27
260,1.054397511235345e-27
261,1.1144535522360492e-27
262,1.1821214859667114e-27
263,1.1827287905924449e-27
264,1.2147612385213498e-27
265,1.2602235989917406e-27
266,1.2890613295268596e-27
267,1.2890613295268602e-27
268,1.3548080971096392e-27
269,1.4874043728040203e-27
270,1.5127983440803861e-27
271,1.7074504324130467e-27
272,1.3933982022899627e-13
273,1.393398202289964e-13
274,1.3933982022899703e-13
275,1.3933982022899715e-13
276,1.3933982022899718e-13
277,1.3933982022899723e-13
278,1.3933982022899733e-13
279,1.393398202289974e-13
280,1.3933982022899748e-13
281,1.393398202289978e-13
282,1.3933982022899784e-13
283,1.39339820228998e-13
284,1.393398202289981e-13
285,1.393398202289981e-13
286,1.3933982022899811e-13
287,1.3933982022899816e-13
288,1.3933982022899816e-13
289,1.3933982022899816e-13
290,1.3933982022899816e-13
291,1.3933982022899821e-13
292,1.3933982022899821e-13
293,1.3933982022899827e-13
294,1.3933982022899827e-13
295,1.3933982022899827e-13
296,1.393398202289983e-13
297,1.3933982022899834e-13
298,1.3933982022899834e-13
299,1.3933982022899834e-13
300,1.3933982022899834e-13
301,1.393398202289984e-13
302,1.393398202289984e-13
303,1.393398202289984e-13
304,1.393398202289984e-13
