,PSD
344,76.31761842930996
345,115.57445338450094
346,50.34816178517569
347,66.42172824644348
348,43.412592979409396
349,39.13189873608522
350,37.68463678069475
351,55.11147652485358
352,65.90313734680554
353,27.54983483508906
354,58.37399945288707
355,30.92181193988413
356,31.229525361306667
357,41.96816429410215
358,31.6214598479381
359,48.036056538958775
360,46.27739781592336
361,58.76782867400048
362,47.35387880083646
363,41.99316831725504
364,38.28536001763385
365,56.86863615691876
366,89.87102602571261
367,168.88950474580344
368,173.56508602440962
369,93.5944031450653
370,45.01219640878516
371,48.18190691809745
372,46.045391478800305
373,50.421724778650166
374,46.18076263281903
375,30.55289413693914
376,40.66702863097668
377,44.37046175002284
378,35.17558098967541
379,34.52004350094193
380,45.31253472956947
381,95.17818174475737
382,47.87649856036137
383,81.037012055274
384,57.399942421527
385,61.1482394523395
386,43.69942617562089
387,70.39736463721923
388,109.13205880377228
389,79.50644175383432
390,102.15864453053474
391,37.38398374520686
392,71.31707137377356
393,81.98599804459923
394,42.63483930305094
395,46.8301185291559
396,34.81919390989116
397,35.734176151485514
398,26.88302934273966
399,12.262827564047498
400,20.27125747615681
401,25.201406416506757
402,27.359045080078122
403,66.20918535099455
404,41.461375147400965
405,49.0684135775778
406,65.88695902317032
407,89.13778396535699
408,46.627448536372725
409,46.69334396713961
410,60.963233414897864
411,48.46541880988902
412,75.85852659058628
413,100.78681441037473
414,86.80734675196086
415,58.187295005338164
416,70.4354565684215
417,33.97184923465886
418,18.09633535710691
419,18.253207960290055
420,18.31377374371628
421,18.04973872729949
422,31.163814053397495
423,45.111189530720374
424,41.01977063365635
425,35.77614582698167
426,44.38157868269642
427,65.6226971263356
428,45.99133183603967
429,50.7404771691988
430,25.80948055134803
431,27.959049898481076
432,65.43920535580222
433,44.019512237929185
434,36.686481774496
435,58.509495688482524
436,62.64265686604813
437,26.56937033963183
438,37.77341736874731
439,74.2768217438061
440,32.681219874345786
441,25.325865404083697
442,46.115607989420546
443,44.54525173778771
444,56.47423387633122
445,35.33924847771072
446,37.245792853830295
447,14.15998793104109
448,25.729364287174295
449,38.9080764277333
450,57.34759854544368
451,70.05671468493887
452,77.33858437809594
453,80.03807395527593
454,46.85303072583585
455,55.765475079126105
456,67.16901349760349
457,69.9712168061302
458,56.94141646232455
459,41.80400840798393
460,45.26650022037074
461,28.32768640090842
462,37.4503111765145
463,30.974363780184312
464,27.020679421654677
465,17.056078685350457
466,34.97670748975955
467,34.931973547017364
468,20.199160314111975
469,29.725930220052522
470,24.01815833398119
471,110.06207167216853
472,109.00933769259359
473,62.89289127196342
474,67.09450409771829
475,107.64208398574067
476,54.35591673100654
477,52.674161078701836
478,41.071301784311586
479,66.50700843006096
480,68.2230956318439
481,67.28712821234144
482,73.10363404558919
483,70.57747650401151
484,70.88111203695547
485,85.55604020020107
486,28.980613803664482
487,22.550225190279452
488,55.4798100141242
489,37.29108566307552
490,39.722384202043216
491,32.5513217675301
492,30.876557824149053
493,40.10608914600788
494,54.32797910525758
495,37.28375933629047
496,53.66092956024938
497,76.55102263977159
498,52.019932804329336
499,61.5781943577397
500,42.07017728930452
501,40.40485108319898
502,47.847402400466194
503,42.667742239742225
504,59.695537092292994
505,37.31641946102152
506,56.64901144058185
507,34.734923806570194
508,50.473614985235805
509,34.70711452860308
510,42.18969027778416
511,36.67930629114014
512,7.687118341869714
