,0
80,3.972478667268226e-19
81,3.8753148500910003e-19
82,3.7816841172796997e-19
83,3.6914172300272417e-19
84,3.6043549629344303e-19
85,3.5203474013726207e-19
86,3.4392532957021257e-19
87,3.360939467148504e-19
88,3.285280260667516e-19
89,3.2121570405989424e-19
90,3.141457725327404e-19
91,3.0730763575398854e-19
92,3.006912707001609e-19
93,2.9428719030684625e-19
94,2.880864094418482e-19
95,2.82080413372263e-19
96,2.762611285187416e-19
97,2.7062089530929853e-19
98,2.6515244296216444e-19
99,2.5984886604257155e-19
100,2.5470360265228964e-19
101,2.49710414123228e-19
102,2.4486336609774447e-19
103,2.4015681088844194e-19
104,2.3558537101954176e-19
105,2.3114392386022796e-19
106,2.2682758726794466e-19
107,2.2263170616648965e-19
108,2.1855183998999797e-19
109,2.1458375092953732e-19
110,2.1072339292422082e-19
111,2.0696690134342816e-19
112,2.0331058331097674e-19
113,1.997509086260208e-19
114,1.962845012389733e-19
115,1.9290813124399679e-19
116,1.8961870735262924e-19
117,1.864132698157491e-19
118,1.8328898376364385e-19
119,1.8024313293618162e-19
120,1.772731137771747e-19
121,1.7437642986898122e-19
122,1.7155068668511197e-19
123,1.6879358664024948e-19
124,1.661029244185631e-19
125,1.6347658256258558e-19
126,1.6091252730617064e-19
127,1.584088046362264e-19
128,1.559635365689665e-19
129,1.5357491762744866e-19
130,1.5124121150804173e-19
131,1.4896074792433156e-19
132,1.467319196177681e-19
133,1.445531795250481e-19
134,1.4242303809291184e-19
135,1.4034006073165602e-19
136,1.3830286539922982e-19
137,1.3631012030831695e-19
138,1.3436054174930054e-19
139,1.3245289202247273e-19
140,1.3058597747325985e-19
141,1.2875864662463148e-19
142,1.2696978840126087e-19
143,1.2521833044030312e-19
144,1.235032374840021e-19
145,1.21823509849626e-19
146,1.2017818197250922e-19
147,1.1856632101823705e-19
148,1.169870255602459e-19
149,1.1543942431934427e-19
150,1.1392267496185464e-19
151,1.1243596295328465e-19
152,1.1097850046461592e-19
153,1.0954952532846948e-19
154,1.0814830004256207e-19
155,1.0677411081802181e-19
156,1.0542626667026974e-19
157,1.0410409855030591e-19
158,1.028069585143609e-19
159,1.015342189299847e-19
160,1.0028527171676603e-19
161,9.905952761995832e-20
162,9.78564155153902e-20
163,9.667538174413969e-20
164,9.55158894755177e-20
165,9.437741809699608e-20
166,9.325946262978268e-20
167,9.216153316881654e-20
168,9.10831543460306e-20
169,9.002386481577952e-20
170,8.89832167613929e-20
171,8.796077542186598e-20
172,8.695611863775961e-20
173,8.59688364154218e-20
174,8.49985305086867e-20
175,8.404481401726052e-20
176,8.310731100103336e-20
177,8.218565610959883e-20
178,8.127949422630946e-20
179,8.038848012620479e-20
180,7.951227814720903e-20
181,7.865056187400701e-20
182,7.780301383404756e-20
183,7.696932520514287e-20
184,7.614919553416316e-20
185,7.534233246634141e-20
186,7.454845148474044e-20
187,7.376727565945025e-20
188,7.299853540609112e-20
189,7.224196825324306e-20
190,7.149731861842289e-20
191,7.076433759224195e-20
192,7.004278273041838e-20
193,6.933241785331005e-20
194,6.863301285266645e-20
195,6.794434350529895e-20
196,6.726619129338396e-20
197,6.659834323113997e-20
198,6.594059169761216e-20
199,6.529273427532931e-20
200,6.46545735945904e-20
201,6.402591718316097e-20
202,6.340657732116447e-20
203,6.279637090096468e-20
204,6.219511929184686e-20
205,6.160264820930592e-20
206,6.101878758876534e-20
207,6.04433714635567e-20
208,5.987623784699847e-20
209,5.931722861840839e-20
210,5.876618941291083e-20
211,5.822296951489391e-20
212,5.76874217549694e-20
213,5.715940241031423e-20
214,5.663877110826549e-20
215,5.612539073304462e-20
216,5.56191273354999e-20
217,5.511985004575165e-20
218,5.462743098863516e-20
219,5.414174520184392e-20
220,5.366267055666717e-20
221,5.3190087681235844e-20
222,5.272387988617972e-20
223,5.226393309261583e-20
224,5.1810135762381985e-20
225,5.1362378830434763e-20
226,5.0920555639336224e-20
227,5.048456187575825e-20
228,5.00542955089306e-20
229,4.962965673096827e-20
230,4.921054789900842e-20
231,4.8796873479099266e-20
232,4.8388539991776026e-20
233,4.7985455959269523e-20
234,4.7587531854291124e-20
235,4.7194680050340934e-20
236,4.680681477348424e-20
237,4.642385205554966e-20
238,4.60457096887026e-20
239,4.5672307181346605e-20
240,4.530356571530559e-20
241,4.493940810424911e-20
242,4.457975875331824e-20
243,4.422454361990991e-20
244,4.3873690175585575e-20
245,4.352712736906712e-20
246,4.318478559028085e-20
