,0
207,1.690018261888967e-07
208,1.521016435864074e-07
209,1.3689147924383156e-07
210,1.2320233133514164e-07
211,1.1088209821717631e-07
212,9.979388841094675e-08
213,8.981449958463725e-08
214,8.083304964089045e-08
215,7.274974469151832e-08
216,6.547477023695074e-08
217,5.8927293227702884e-08
218,5.303456391932807e-08
219,4.7731107541789157e-08
220,4.2957996802000625e-08
221,3.8662197136040267e-08
222,3.4795977436067826e-08
223,3.131637970552817e-08
224,2.8184741747876002e-08
225,2.5366267585926345e-08
226,2.282964084000376e-08
227,2.0546676768664345e-08
228,1.8492009104266335e-08
229,1.6642808206085353e-08
230,1.4978527397641407e-08
231,1.3480674669986354e-08
232,1.2132607215044092e-08
233,1.0919346505580378e-08
234,9.827411866703224e-09
235,8.844670690757411e-09
236,7.960203632235255e-09
237,7.164183279440265e-09
238,6.447764961630427e-09
239,5.8029884755161615e-09
240,5.222689637663044e-09
241,4.7004206834516315e-09
242,4.230378624549219e-09
243,3.807340771473795e-09
244,3.4266067034164774e-09
245,3.0839460421333236e-09
246,2.775551446936778e-09
247,2.4979963111317123e-09
248,2.2481966886188488e-09
249,2.0233770282663414e-09
250,1.8210393338449215e-09
251,1.638935408771857e-09
252,1.4750418761295028e-09
253,1.3275376967375255e-09
254,1.1947839351776316e-09
255,1.0753055497144896e-09
256,9.677750026505102e-10
257,8.709975102193186e-10
258,7.838977669771393e-10
259,7.055079980491776e-10
260,6.349572058434013e-10
261,5.714614925876924e-10
262,5.143153506124328e-10
263,4.6288382280026943e-10
264,4.16595447716262e-10
265,3.7493591004107017e-10
266,3.3744232591996473e-10
267,3.036981002108359e-10
268,2.7332829703235736e-10
269,2.4599547399906936e-10
270,2.213959332401231e-10
271,1.9925634636737098e-10
272,1.7933071783989056e-10
273,1.6139765207724755e-10
274,1.4525789285934728e-10
275,1.3073210939833355e-10
276,1.1765890407139266e-10
277,1.0589301911454889e-10
278,9.53037226467907e-11
279,8.577335577957198e-11
280,7.719602558789348e-11
281,6.947642808383522e-11
282,6.252878998983368e-11
283,5.6275915630524334e-11
284,5.064832869420829e-11
285,4.5583500434411e-11
286,4.1025154993840446e-11
287,3.6922644057328025e-11
288,3.323038387736708e-11
289,2.990734961706724e-11
290,2.6916618648614234e-11
291,2.4224960697331708e-11
292,2.1802467960677987e-11
293,1.9622223794775692e-11
294,1.766000399214118e-11
295,1.5894006037303947e-11
296,1.4304607610262391e-11
297,1.2874148980388183e-11
298,1.1586736212700249e-11
299,1.0428064665545642e-11
300,9.385260268346454e-12
301,8.446736087558089e-12
302,7.602064275509526e-12
303,6.841859577104046e-12
304,6.157675121288329e-12
305,5.54190890143506e-12
306,4.987719271939055e-12
307,4.4889484852535314e-12
308,4.040054468880562e-12
309,3.6360497421414957e-12
310,3.2724453332056502e-12
311,2.9452012239138956e-12
312,2.6506811773828364e-12
313,2.3856130596445565e-12
314,2.147051753680104e-12
315,1.9323465783120966e-12
316,1.7391119204808895e-12
317,1.565200640990278e-12
318,1.4086803602018481e-12
319,1.2678120146746429e-12
