,covid19_wlt
201,-0.0213708785490871
202,-0.006195541155362687
203,0.007452793287224047
204,0.014002493596051055
205,0.010424449627650673
206,-0.001936358634831544
207,-0.017364370087173453
208,-0.028977354729378124
209,-0.03327482020428169
210,-0.0323563117309569
211,-0.03238454552822359
212,-0.040156504359464544
213,-0.059840134162398737
214,-0.09007149861082203
215,-0.12164300079102919
216,-0.1381617581692147
217,-0.12220038915434289
218,-0.06543542796354487
219,0.023480990935832495
220,0.12011756290333706
221,0.19562670461538573
222,0.2314781259777874
223,0.22720209089006974
224,0.19578988221498717
225,0.15136978801898096
226,0.09980531602056111
227,0.03940659806594706
228,-0.03031756779826903
229,-0.10027864718888341
230,-0.1512231410417334
231,-0.16241687530908724
232,-0.12473880022515181
233,-0.04963613834763489
234,0.033257942611870886
235,0.09034362183968227
236,0.10199973120586182
237,0.07269297110900891
238,0.02665150166372176
239,-0.007584546549870962
240,-0.013407845924225358
241,0.006702435814790388
242,0.0361373405490516
243,-0.007624066413506117
244,-0.05357733088993955
245,-0.09579527720657854
246,-0.126331724035042
247,-0.13716363820871608
248,-0.12287910451356843
249,-0.08315851308273293
250,-0.023901908804696434
251,0.043683021698776164
252,0.105866184537376
253,0.15003859222890975
254,0.16789759376580055
255,0.15715141733867777
256,0.12156253533184985
257,0.06978049052777106
258,0.013650093204794815
259,-0.03368626764275985
260,-0.05993078524889267
261,-0.056182707189334345
262,-0.01962882552437143
263,0.044575534628683466
264,0.12341477841659187
265,0.19885751808955504
266,0.2529305938627816
267,0.27329690021695585
268,0.2570331526915571
269,0.21102165745458618
270,0.14885277514716716
271,0.08570929350035944
272,0.033471588322960856
273,-0.002126337457078204
274,-0.02158140590859481
275,-0.029539712405730764
276,-0.031817236468590526
277,-0.03286682287088342
278,-0.03453688024438732
279,-0.036274238654181556
280,-0.036341982269739885
281,-0.033330791286850674
282,-0.027235449905522516
283,-0.019678201236348294
284,-0.013280932499128402
285,-0.010558324434915941
286,-0.012930342586108104
287,-0.02031758798138905
288,-0.03149753145994387
289,-0.045010774059182856
290,-0.06006744821449075
291,-0.07686611092751951
292,-0.0960139167141966
293,-0.11720873899920815
294,-0.13783067295518192
295,-0.15228177582715044
296,-0.15277776755907754
297,-0.13167224443243747
298,-0.08463538830896508
299,-0.013324321013354151
300,0.07374882635733972
301,0.16281393945893885
302,0.23839836466029507
303,0.287385092958007
304,0.3020359020012404
305,0.2810342018696135
306,0.2288205562113656
307,0.15411804151311376
308,0.06851684583911805
309,-0.01477911191632715
310,-0.08251423947427308
311,-0.1237238032784908
312,-0.13259976490251865
313,-0.11069496764809418
314,-0.06707375944471988
315,-0.015680143497726014
316,0.0293488895975172
317,0.05850259434594502
318,0.0696147834037939
319,0.06730307657031832
320,0.05958885049125922
321,0.053595340421918
322,0.052441712942510835
323,0.0546596821785195
324,0.001237575853877064
325,-0.04575124347680922
326,-0.08157626846289588
327,-0.10177293676721202
328,-0.103240775279514
329,-0.08526868910616561
330,-0.05015583392969587
331,-0.003211469095687168
332,0.04799228694671763
333,0.09498778706948381
334,0.13012758136340996
335,0.14821347659468104
336,0.14767333892027995
337,0.13098414737356082
338,0.1042210929761642
339,0.07582368307577794
340,0.054782731861811255
341,0.048641571290020516
342,0.061722145763880035
343,0.09401619608222977
344,0.1410157773974931
345,0.19461455269007458
346,0.24489656281119201
347,0.2823782395545042
348,0.3001357787312078
349,0.2952149314472659
350,0.2689922184614975
351,0.2264378090996782
352,0.17460460441415454
353,0.1208238348682234
354,0.07117352628687024
355,0.02957618909237695
356,-0.0023411295156026135
357,-0.024809132499123216
358,-0.039170285105896
359,-0.04716176270763159
360,-0.05043404251983033
361,-0.05039628568842099
362,-0.048288829650202925
363,-0.0453272281887762
364,-0.042791630745215775
365,-0.04200309037923046
366,-0.0441891524850309
367,-0.05029129849517944
368,-0.06081887754087101
369,-0.07575853651237763
370,-0.0945370955345477
371,-0.11596159573602813
372,-0.1381331129554803
373,-0.15833518898469248
374,-0.17302519288163595
375,-0.1780345302506305
376,-0.16911390722988895
377,-0.1428027199831578
378,-0.09747385958589588
379,-0.03427168782118294
380,0.04239462418457542
381,0.12504992998115744
382,0.20410984823775377
383,0.26945158465599817
384,0.3122437642502823
385,0.32664420493720725
386,0.310952184596331
387,0.26799322043869706
388,0.20466400289617984
389,0.13072205132806364
390,0.05707712358541799
391,-0.00613093843137847
392,-0.0512754122411459
393,-0.07446408303903371
394,-0.07593598973962755
395,-0.059570825877828165
396,-0.03162749177346981
397,0.0009240017948199987
398,0.03198399924484407
399,0.057408570613766016
400,0.0753249780496813
401,0.08574092628597065
402,0.08971194358965336
403,0.08848701253138158
404,0.08292925518010998
405,0.02716650474875104
406,-0.017924462261684686
407,-0.04981949969248857
408,-0.06675883425213683
409,-0.06820267132242946
410,-0.05511833440077332
411,-0.03004088016316472
412,0.003170333996296175
413,0.03985433467801318
414,0.07527009351988419
415,0.10540191637312879
416,0.12765343886365288
417,0.14130279872017493
418,0.14758935043761204
419,0.14941423775842358
420,0.1506706666858802
421,0.15536131068140102
422,0.16667366321695512
423,0.18621021673675275
424,0.21356111262593752
425,0.2462857408883165
426,0.2803357673075044
427,0.31080855839388405
428,0.33288331672567023
429,0.34270476841167824
430,0.33805580386978
431,0.3186745103115969
432,0.2861974041049471
433,0.24374332056130177
434,0.19530130701828313
435,0.14504354137159964
436,0.09672306353607096
437,0.053239098341307585
438,0.016428440780293173
439,-0.012947899685348943
