,network_energy_and_bot_energy
323,0.018921015631756525
324,0.01893376262420519
325,0.01895455661908894
326,0.018954849457692702
327,0.018972577040464
328,0.0189877572363748
329,0.01899128620325945
330,0.01899535121487885
331,0.01901161914769949
332,0.01901496238752377
333,0.019048964033098286
334,0.019050372509848888
335,0.01908387179838364
336,0.019126293301340056
337,0.019135800291192214
338,0.019140258965192874
339,0.01914501794782418
340,0.01914702501242132
341,0.01914768560496906
342,0.01915373255072156
343,0.01919314827875881
344,0.019208801721325906
345,0.019212852948816524
346,0.019241174672258537
347,0.019246297584319234
348,0.019269955381183663
349,0.019295342247032454
350,0.019298750692489954
351,0.01934363491909503
352,0.01934598161992176
353,0.019347730150774203
354,0.01936566631951416
355,0.019366768899772804
356,0.01940020460776553
357,0.01941757986347947
358,0.019423786918463543
359,0.01946046809366756
360,0.019462276462528977
361,0.019483926930286957
362,0.019489895714702467
363,0.01949055606340893
364,0.01951849262402885
365,0.019519624414655105
366,0.019520576584616395
367,0.0195310578203811
368,0.019541861245312268
369,0.01956386970243436
370,0.01959514332437742
371,0.019603038692562663
372,0.01965148813249985
373,0.01966364782260171
374,0.01967346822741437
375,0.019702092641811275
376,0.01971783150295892
377,0.019745841844795387
378,0.019794913868882564
379,0.01979940693293918
380,0.019806048815174143
381,0.019826790827085636
382,0.019866509840095987
383,0.019879512917972474
384,0.01989283553271977
385,0.019897261501524193
386,0.019923300236434297
387,0.019929856549444118
388,0.019935913455571354
389,0.019976764570869266
390,0.01998936657892056
391,0.01999005952151939
392,0.019990703209957564
393,0.019992719300959062
394,0.019994458449989753
395,0.01999700550369751
396,0.020012972897513852
397,0.020026345349267522
398,0.02003804044813336
399,0.020039093393835666
400,0.02005030398530848
401,0.020085189884143605
402,0.020108745800698
403,0.02011369359051067
404,0.020115162036272914
405,0.02012439126517389
406,0.020160389231796295
407,0.02018447945041355
408,0.02018610053366915
409,0.020188804116869092
410,0.02019026943072201
411,0.020196176585718147
412,0.02022943203477842
413,0.020238931444752098
414,0.02023937119247402
415,0.020246971251551588
416,0.020277146409941823
417,0.020291790413532206
418,0.020305861352356108
419,0.02030841822355241
420,0.02032305969288368
421,0.020328990181231705
422,0.020343755120524228
423,0.020353066248378245
424,0.020355726985482405
425,0.020394311836298393
426,0.020399767775079545
427,0.020405564913782683
428,0.020432961306372115
429,0.020434635722656774
430,0.020464025839916494
431,0.02048170757499562
432,0.020488236772568526
433,0.02050193895150774
434,0.020509146788978447
435,0.02054350216346275
436,0.02055659371182769
437,0.02055667456717464
438,0.020571237164959517
439,0.020606230549999265
440,0.02060800853779136
441,0.02060904783901573
442,0.02063754430648555
443,0.02066474801934902
444,0.020669497423174286
445,0.02068050912831129
