,username,before_percolation,after_percolation,degree,change
472,zewdu_mawcha,0.0,0.0,510,no change
1141,navajodephealth,0.0,0.0,508,no change
1139,KMOV,0.0,0.0,507,no change
1137,theiagen,0.0,0.0,506,no change
1135,mjandrejko,0.0,0.0,505,no change
1134,JenniferShutt,1.2885192930984925e-05,1.6826682001424364e-05,504,increase
1131,AfricaCDC,0.0,0.0,494,no change
1130,RaquelaHernand,0.0,0.0,489,no change
1126,lizhenry,0.0,0.0,476,no change
302,NJDeptofHealth,0.0,0.0,467,no change
1122,LayahHeilpern,0.0,0.0,465,no change
1120,TAGTeam_Tweets,0.0,0.0,464,no change
1118,oumgbako,0.0,0.0,463,no change
1116,themohwgovjm,0.0,0.0,462,no change
1113,MedResJourno,0.0,0.0,453,no change
1110,LizHighleyman,0.0,0.0,450,no change
1105,Frutebrute1,0.0,0.0,446,no change
1102,tododiaarmy,0.0,0.0,441,no change
1100,JJVergaraDiaz,0.0,0.0,440,no change
1097,itech_network,0.0,0.0,437,no change
1095,ClarkCardone,0.0,0.0,436,no change
449,MiamiDadeEM,0.0,0.0,430,no change
1091,BUCEID,0.0,0.0,428,no change
448,CPA_Trendlines,0.0,0.0,427,no change
834,tmhtesting,0.0,0.0,425,no change
359,SkinOfColor,9.911686869988404e-07,1.5864789555116968e-06,425,increase
41,HITE_SITE,0.0,0.0,425,no change
1090,phagafaga,0.0,0.0,424,no change
1088,awyllie13,0.0,0.0,423,no change
929,Quinloiz,1.9823373739976807e-06,2.689594843452729e-06,421,increase
1083,Lizmoh3,0.0,0.0,419,no change
358,NYCHealthCMO,4.955843434994202e-07,7.792408691286544e-07,417,increase
1081,TwiggySheri,0.0,0.0,408,no change
316,mizzbeethebody,9.911686869988404e-07,1.2165936254874537e-06,405,increase
1076,WhiteBearWhitey,0.0,0.0,403,no change
151,Eurosurveillanc,2.775272323596753e-05,2.6499100283749866e-05,401,decrease
29,nycHealthy,2.676155454896869e-05,3.3391038425845086e-05,396,increase
379,AgenciaOjo,0.0,0.0,393,no change
907,StonewallChico,9.911686869988404e-07,1.2165936254874537e-06,388,increase
1069,waasabaay,0.0,0.0,388,no change
441,VictorianCHO,0.0,0.0,387,no change
1066,rickberke,0.0,0.0,385,no change
939,david2400,9.911686869988404e-07,1.2165936254874537e-06,375,increase
1058,BigDick_Will_,0.0,0.0,365,no change
435,diariofarma,0.0,0.0,364,no change
1053,calicoestrella,0.0,0.0,360,no change
878,drpatesblog,0.0,0.0,360,no change
1051,ISGLOBALorg,0.0,0.0,356,no change
1048,Rainbw_mansion,0.0,0.0,353,no change
1046,marteneriksson,0.0,0.0,352,no change
1043,johnnydollar01,0.0,0.0,349,no change
1038,chainsawwade1,0.0,0.0,346,no change
1037,GenetixVideos,0.0,0.0,343,no change
1035,Wallythegoat666,0.0,0.0,342,no change
343,e_Avversi,0.0,0.0,341,no change
430,ArlCoVAPatch,0.0,0.0,339,no change
930,skier_doc,1.9823373739976807e-06,2.689594843452729e-06,337,increase
1032,Wyatt1Johnson,0.0,0.0,337,no change
76,19thnews,0.0,0.0,337,no change
366,UCLALuskin,0.0,0.0,333,no change
207,upcells,2.973506060996521e-06,3.2873026304844544e-06,331,increase
1027,davidray_17,0.0,0.0,330,no change
1025,dollysays_,0.0,0.0,329,no change
1022,MagaMann82,0.0,0.0,324,no change
426,NPR,0.0,0.0,321,no change
1020,GChristiemd,0.0,0.0,318,no change
1018,Poet_Bryan1,0.0,0.0,317,no change
1014,amymitchellart,0.0,0.0,315,no change
423,ElsevierConnect,0.0,0.0,311,no change
419,Delanee_,0.0,0.0,306,no change
418,SuperTalkNews,0.0,0.0,304,no change
417,akheriaty,0.0,0.0,302,no change
149,NewsMedical,9.911686869988404e-06,9.996375310366883e-06,300,increase
1009,ScowcroftTAMU,0.0,0.0,300,no change
1007,bergevina1,0.0,0.0,299,no change
1003,r8a4f9RT208,0.0,0.0,295,no change
998,chadfelixg,0.0,0.0,290,no change
414,AliAdamos,0.0,0.0,289,no change
919,fitcleveguy1,9.911686869988404e-07,1.2165936254874537e-06,287,increase
